house,test_ratio,sampling_ratio,feature_length,accuracy
r3,0.7,60,900,0.641255605381
r3,0.7,60,1800,0.5875
r3,0.7,60,3600,0.506641366224
r3,0.7,300,900,0.419438669439
r3,0.7,300,1800,0.513353115727
r3,0.7,300,3600,0.49715370019
r3,0.7,600,1800,0.71106557377
r3,0.7,600,3600,0.539805825243
r3,0.7,900,3600,0.551656920078
r3,0.8,1,300,0.740023823705
r3,0.8,1,600,0.424401634559
r3,0.8,1,900,0.762580645161
r3,0.8,1,1800,0.170302013423
r3,0.8,1,3600,0.466777408638
r3,0.8,5,300,0.724163679809
r3,0.8,5,600,0.595551653497
r3,0.8,5,900,0.817515099223
r3,0.8,5,1800,0.562080536913
r3,0.8,5,3600,0.533222591362
r3,0.8,10,300,0.681661418504
r3,0.8,10,600,0.767087122323
r3,0.8,10,900,0.541486603284
r3,0.8,10,1800,0.567953020134
r3,0.8,10,3600,0.559800664452
r3,0.8,30,300,0.673343373494
r3,0.8,30,600,0.752653301887
r3,0.8,30,900,0.561578490893
r3,0.8,30,1800,0.673675357443
r3,0.8,30,3600,0.546511627907
r3,0.8,60,300,0.674443266172
r3,0.8,60,600,0.675651658768
r3,0.8,60,900,0.64952048823
r3,0.8,60,1800,0.713804713805
r3,0.8,60,3600,0.533222591362
r3,0.8,300,900,0.701227830832
r3,0.8,300,1800,0.575259515571
r3,0.8,300,3600,0.518272425249
r3,0.8,600,1800,0.713261648746
r3,0.8,600,3600,0.668367346939
r3,0.8,900,3600,0.517064846416
